Code,RegNum,BrandNam,Strength,Presentation,Form,Agent,Manufacturer,Country,Price,Pharmmarg,Stratum,PubDec,ResPart,ResCou,ExcDat,Subsidy
10574,51721/1,0.45% SODIUM CHLORIDE INJECTION USP,0.45%,1000ml,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,160885.2,16.67,-,1.7976,-,-,2024-02-05,1
11135,9723/1,0.45% SODIUM CHLORIDE INJECTION USP,0.45%,1000ml non pvc,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,176973.72,16.67,-,1.97736,-,-,2024-02-05,1
10570,51921/1,0.9% SODIUM CHLORIDE INJECTION USP,0.9%,100ml,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,145945.86,16.67,-,1.63068,-,-,2024-02-05,1
10571,52121/1,0.9% SODIUM CHLORIDE INJECTION USP,0.9%,500ml,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,151691.76,16.67,-,1.69488,-,-,2024-02-05,1
10572,52021/1,0.9% SODIUM CHLORIDE INJECTION USP,0.9%,1000ml,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,164332.74,16.67,-,1.83612,-,-,2024-02-05,1
10573,51821/1,0.9% SODIUM CHLORIDE INJECTION USP,0.9%,3000ml,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,688358.82,16.67,-,7.69116,-,-,2024-02-05,1
10575,52221/1,0.9% SODIUM CHLORIDE INJECTION USP,0.9%,250ml,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,144796.68,16.67,-,1.61784,-,-,2024-02-05,1
11136,8323/1,0.9% SODIUM CHLORIDE INJECTION USP,0.9%,100ml non pvc,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,182719.62,16.67,-,2.04156,-,-,2024-02-05,1
11137,8523/1,0.9% SODIUM CHLORIDE INJECTION USP,0.9%,500ml non pvc,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,209150.76,16.67,-,2.33688,-,-,2024-02-05,1
11138,8623/1,0.9% SODIUM CHLORIDE INJECTION USP,0.9%,1000ml non pvc,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,222940.92,16.67,-,2.49096,-,-,2024-02-05,1
11139,8423/1,0.9% SODIUM CHLORIDE INJECTION USP,0.9%,250ml non pvc,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,181570.44,16.67,-,2.02872,-,-,2024-02-05,1
10614,63721/1,10% DEXTROSE INJECTION USP,-,1000ml,-,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,219493.38,16.67,-,2.45244,-,-,2024-02-05,1
