Pharmacy,PharmacistName,Mouhafaza,Casa,Address,Phone
2000,Nassif Mounir Maalouli,MONT LIBAN,-,Zouk Mikael - Rue Des Cinés  Espace - Imm. De La Congrégation Mariste Maronite,09/210722
2001,May Nadra Zalaket,MONT LIBAN,AL MATN,Mkaless-rue Principale,01/686180
a pharm,Ola Ahmad Al Assi,LIBAN SUD,SAYDAH,Saida- Haret Saida,07/726662
a to z pharmacy,Ghada Joseph Romanos,MONT LIBAN,AL MATN,Baabdat,04/825808-03/823854
a.obeid pharmacy,Maria Ghazi Abou Obeid,BEKAA,ZAHLE,Zahlé-Haouch Al Oumara,08/804839
a+pharmacy,Antoine Salim Moawad,MONT LIBAN,-,Sheile-Kesrawane,09/231359
aadeisseh pharm,Roubine Ali Rammal,Al Nabatieh,MERGEOUN,-,07/850807
aalwan,Aida Kassem Alwan,MONT LIBAN,ALEY,Aley-Cartier Al Chawi,05/559360
abboud,Sanaa Mohamad Abboud,LIBAN SUD,TYR,Deir Ames,71/433283
abdallah,hicham mostafa abdallah,MONT LIBAN,BAABDA,Al Chiah-Jnah-La Rue Du Club De Golf,01/855515
abdallah 2,Ibrahim Ali Abdallah,LIBAN SUD,TYR,Al Abassieh-Rue Principale,07/343835
abdallah 3,Nasser Hussein Abdallah,LIBAN NORD,-,Burj Al Arab-Deir Dalloum,-
abdallah 4,Moustafa Abdelrahmane Abdallah,BEKAA,-,Baalback,08/377011
abdel massih,Hyam Youssef Abdel Massih,MONT LIBAN,AL MATN,Dik Al Mehdi,04/917770
abdel rahman,Mustapha Abdel Rahman Muhieddine,BEKAA,-,Al Fakiha,03/449798
abdo,Samir Ibrahim Abdo,LIBAN NORD,Al Minyeh / Al Denniyeh,Al Bedawi-quartier Al Jabal,06/382188
abed ali,Ahmad Abdallah Abed Ali,MONT LIBAN,BAABDA,Borj Al Barajneh-Rue  Cheikh Ibrahim,01/457373
abi khalil,CLAUDE MICHEL ABI_ KHALIL,MONT LIBAN,-,Jounieh-Autostrade Haret Sakher,09/913383
abi nader,Solange Nabil Abi-Nader,MONT LIBAN,BAABDA,Baabda-quartier Yarzeh-,05/923623
abi rafeh pharmacy,Tarek Samir Abi Rafeh,MONT LIBAN,ALEY,Aley-La Rue Principale,05/552125
abiad,Labib Rafic Abiad,BEYROUTH,BEYROUTH,Al Hamra-Rue Makdissi-Imm.Yared,01/745593-01/345857
abir,Abir Hussein Moussa,LIBAN SUD,SAYDAH,Saida-AL Dacraman-Rue Riyad AL Soloh,07/728713
abir 2,Abir Saiid Daou,MONT LIBAN,AL CHOUF,Kfarhim-Al Chouf,-
abir 3,Abir AbdelKader El Hajj,MONT LIBAN,AL CHOUF,Barja - Imm.Omar Amine Terro,07/921833
ablah,Mohamad Khattar Hassan,BEKAA,ZAHLE,Ablah-Zahle,08/952162
abou al oussoud,Amina Mohamad Moftah Haji,LIBAN SUD,SAYDAH,Kfarbada-Saida,07/360796-03/170442
abou diwan,Roula Elias  Abou Diwane,MONT LIBAN,AL MATN,Dekwaneh-Route Principale-Bifurcation  De Tel  Zaatar,01/682331
abou fadel,Nadim Nicolas Abou Fadel,MONT LIBAN,AL MATN,Broumana-quartier Mrah Ghanem-la Route principale,04/873663
abou jakh,Samah Khaled Abou Jakh,BEKAA,BEKAA OUEST,Ghaza,08/641123
abou jaoudé,Layal Michel Abou Jaoude,MONT LIBAN,AL MATN,Jal El Dib-Route Principale,04/715191-04/712521
